"Kermadec Sequence - Locatable Events",,,,,,,,,,,,
"From 2019/03/03 00:00:00 UTC to 2019/03/13 23:59:59 UTC",,,"P - S 30 sec @ GLKS",,,,,,,,,
"Date (UTC)","Arrival time on GLKZ","Event triggered autolocation Y/N","Artificial Event created by GHA","Event ID (if applicable)","Reached Mainland",MLv,mB,"Did USGS Locate Y/N","USGS Magnitude (mww)","Max Amplitude (Z) @ GLKZ","Max Amplitude (Z) @ HAZ",Comments
2019/03/03,01:49:52,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/03,02:01:59,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/03,03:59:44,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/03,04:58:25,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/03,05:04:00,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/03,05:24:57,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/03,05:55:25,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/03,07:01:40,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/03,07:26:47,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/03,08:17:56,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/03,10:31:42,Yes,N/A,2019p166052,Yes,5.85,5.64,Yes,5.4,,,
2019/03/03,11:00:06,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/03,22:54:07,Yes,N/A,2019p167447,Yes,5.44,5.05,No,N/A,,,
2019/03/04,01:11:19,No,No,N/A,Yes,N/A,N/A,No,N/A,,,"Can see arrival on some mainland broadbands, but not good enough signal to locate accurately and commit"
2019/03/04,01:54:59,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/04,02:07:07,No,Yes,2019p167805,Yes,4.24,4.55,No,N/A,,,
2019/03/04,03:49:18,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/04,04:57:56,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/04,12:29:34,Yes,N/A,2019p168973,Yes,4.21,4.53,No,N/A,,,
